Corruption_Level,Error_Level,Hopfield,DAM,DAMExp,Continuous,SimplicialWithPairwise,SimplicialNoPairwise
0.0,0.0,0.01,0.01,0.4166666666666667,0.01,0.1,0.1
0.0,0.025,0.15,0.16,15.416666666666666,0.56,0.1,0.1
0.0,0.05,0.18,0.18,nan,nan,0.1,0.1
0.0,0.1,0.22,0.22,nan,nan,0.1,0.1
0.0,0.25,0.34,0.36,nan,nan,0.1,0.7
0.1,0.0,0.01,0.01,0.4166666666666667,0.01,0.1,0.1
0.1,0.025,0.14,0.14,0.8333333333333334,0.1,0.1,0.1
0.1,0.05,0.17,0.17,2.9166666666666665,0.4,0.1,0.1
0.1,0.1,0.2,0.2,17.5,0.72,0.1,0.1
0.1,0.25,0.32,0.33,nan,nan,0.1,0.6
