Pattern,ErrorRate,CorruptionLevel,num_neurons,param
1,0.0,0.0,100,8
1,0.0,0.1,100,8
1,0.0,0.2,100,8
1,0.0,0.3,100,8
1,0.0,0.4,100,8
1,0.0,0.5,100,8
2,0.2504,0.0,100,8
2,0.25065,0.1,100,8
2,0.2513,0.2,100,8
2,0.2503,0.3,100,8
2,0.25948000000000004,0.4,100,8
2,0.27998333333333336,0.5,100,8
3,0.36766666666666664,0.0,100,8
3,0.3700333333333334,0.1,100,8
3,0.37135555555555555,0.2,100,8
3,0.3755166666666666,0.3,100,8
3,0.3938933333333333,0.4,100,8
3,0.4199666666666667,0.5,100,8
4,0.43029999999999996,0.0,100,8
4,0.433525,0.1,100,8
4,0.43475,0.2,100,8
4,0.43822500000000003,0.3,100,8
4,0.45457,0.4,100,8
4,0.48213333333333336,0.5,100,8
5,0.47108000000000005,0.0,100,8
5,0.47012,0.1,100,8
5,0.4704933333333333,0.2,100,8
5,0.47302999999999995,0.3,100,8
5,0.490856,0.4,100,8
5,0.5196,0.5,100,8
6,0.48096666666666665,0.0,100,8
6,0.47986666666666666,0.1,100,8
6,0.4819333333333334,0.2,100,8
6,0.4875833333333334,0.3,100,8
6,0.5097733333333333,0.4,100,8
6,0.5426555555555556,0.5,100,8
7,0.4904857142857143,0.0,100,8
7,0.4892857142857143,0.1,100,8
7,0.49155238095238096,0.2,100,8
7,0.49691428571428575,0.3,100,8
7,0.52224,0.4,100,8
7,0.5544952380952382,0.5,100,8
8,0.49434999999999996,0.0,100,8
8,0.49755000000000005,0.1,100,8
8,0.49565,0.2,100,8
8,0.50376875,0.3,100,8
8,0.5251399999999999,0.4,100,8
8,0.5578916666666667,0.5,100,8
9,0.5012666666666665,0.0,100,8
9,0.4992000000000001,0.1,100,8
9,0.4990296296296297,0.2,100,8
9,0.5070166666666667,0.3,100,8
9,0.5306666666666666,0.4,100,8
9,0.5612925925925926,0.5,100,8
10,0.50054,0.0,100,8
10,0.49790000000000006,0.1,100,8
10,0.4975733333333333,0.2,100,8
10,0.505445,0.3,100,8
10,0.529788,0.4,100,8
10,0.5635166666666667,0.5,100,8
11,0.4979454545454546,0.0,100,8
11,0.49937272727272736,0.1,100,8
11,0.5006727272727273,0.2,100,8
11,0.5066136363636364,0.3,100,8
11,0.5333927272727272,0.4,100,8
11,0.5662242424242424,0.5,100,8
12,0.4986,0.0,100,8
12,0.4993416666666668,0.1,100,8
12,0.49877777777777776,0.2,100,8
12,0.5052916666666667,0.3,100,8
12,0.5321433333333333,0.4,100,8
12,0.5660388888888889,0.5,100,8
13,0.5033538461538462,0.0,100,8
13,0.5018230769230769,0.1,100,8
13,0.5016615384615384,0.2,100,8
13,0.5110269230769231,0.3,100,8
13,0.5374461538461538,0.4,100,8
13,0.5714769230769231,0.5,100,8
14,0.5016428571428571,0.0,100,8
14,0.5021071428571429,0.1,100,8
14,0.5023761904761905,0.2,100,8
14,0.5133892857142857,0.3,100,8
14,0.5411628571428572,0.4,100,8
14,0.5736309523809524,0.5,100,8
15,0.49666666666666665,0.0,100,8
15,0.4993000000000001,0.1,100,8
15,0.5006755555555555,0.2,100,8
15,0.5112066666666667,0.3,100,8
15,0.539712,0.4,100,8
15,0.5727422222222223,0.5,100,8
16,0.4991375,0.0,100,8
16,0.49926250000000005,0.1,100,8
16,0.4997791666666668,0.2,100,8
16,0.51043125,0.3,100,8
16,0.5394024999999999,0.4,100,8
16,0.5729791666666666,0.5,100,8
17,0.499035294117647,0.0,100,8
17,0.5000352941176471,0.1,100,8
17,0.4996509803921568,0.2,100,8
17,0.5082205882352941,0.3,100,8
17,0.5375835294117648,0.4,100,8
17,0.5717686274509803,0.5,100,8
18,0.5002666666666666,0.0,100,8
18,0.5003333333333333,0.1,100,8
18,0.5013444444444446,0.2,100,8
18,0.5128083333333333,0.3,100,8
18,0.5407777777777778,0.4,100,8
18,0.5747018518518519,0.5,100,8
19,0.5014421052631579,0.0,100,8
19,0.5001736842105263,0.1,100,8
19,0.5016105263157895,0.2,100,8
19,0.5127131578947368,0.3,100,8
19,0.5427642105263157,0.4,100,8
19,0.5767192982456141,0.5,100,8
20,0.50052,0.0,100,8
20,0.5003150000000001,0.1,100,8
20,0.50125,0.2,100,8
20,0.5136575000000001,0.3,100,8
20,0.5448140000000001,0.4,100,8
20,0.5780283333333334,0.5,100,8
21,0.5014761904761905,0.0,100,8
21,0.5017238095238096,0.1,100,8
21,0.5019460317460318,0.2,100,8
21,0.5132214285714286,0.3,100,8
21,0.5435599999999999,0.4,100,8
21,0.5771952380952381,0.5,100,8
22,0.5002818181818182,0.0,100,8
22,0.5001090909090908,0.1,100,8
22,0.5022484848484848,0.2,100,8
22,0.5143590909090909,0.3,100,8
22,0.5451527272727272,0.4,100,8
22,0.5787378787878787,0.5,100,8
23,0.4998,0.0,100,8
23,0.500095652173913,0.1,100,8
23,0.5012782608695652,0.2,100,8
23,0.513704347826087,0.3,100,8
23,0.5448678260869565,0.4,100,8
23,0.5781782608695653,0.5,100,8
24,0.5016333333333334,0.0,100,8
24,0.5011749999999999,0.1,100,8
24,0.5018277777777779,0.2,100,8
24,0.5160291666666666,0.3,100,8
24,0.54837,0.4,100,8
24,0.5810013888888889,0.5,100,8
25,0.49968,0.0,100,8
25,0.4996439999999999,0.1,100,8
25,0.5017280000000001,0.2,100,8
25,0.514806,0.3,100,8
25,0.5470928,0.4,100,8
25,0.5798666666666666,0.5,100,8
26,0.49941538461538465,0.0,100,8
26,0.4988730769230769,0.1,100,8
26,0.5007435897435897,0.2,100,8
26,0.51395,0.3,100,8
26,0.5461738461538461,0.4,100,8
26,0.5800846153846154,0.5,100,8
27,0.5008962962962964,0.0,100,8
27,0.49952962962962977,0.1,100,8
27,0.5002617283950618,0.2,100,8
27,0.5145462962962963,0.3,100,8
27,0.5458340740740741,0.4,100,8
27,0.5794086419753086,0.5,100,8
28,0.5006142857142857,0.0,100,8
28,0.5005142857142858,0.1,100,8
28,0.5021071428571429,0.2,100,8
28,0.5160357142857143,0.3,100,8
28,0.5482857142857144,0.4,100,8
28,0.5814345238095238,0.5,100,8
29,0.49828965517241386,0.0,100,8
29,0.4994344827586207,0.1,100,8
29,0.5015540229885058,0.2,100,8
29,0.5161293103448276,0.3,100,8
29,0.548591724137931,0.4,100,8
29,0.582032183908046,0.5,100,8
30,0.5013866666666666,0.0,100,8
30,0.5001833333333334,0.1,100,8
30,0.5020111111111112,0.2,100,8
30,0.51673,0.3,100,8
30,0.5512826666666666,0.4,100,8
30,0.5844411111111111,0.5,100,8
31,0.5000774193548387,0.0,100,8
31,0.5004645161290322,0.1,100,8
31,0.5016322580645162,0.2,100,8
31,0.5166080645161291,0.3,100,8
31,0.5490748387096774,0.4,100,8
31,0.5824118279569892,0.5,100,8
32,0.5008875,0.0,100,8
32,0.501209375,0.1,100,8
32,0.50260625,0.2,100,8
32,0.5185546875,0.3,100,8
32,0.550925,0.4,100,8
32,0.5840916666666668,0.5,100,8
33,0.5004909090909091,0.0,100,8
33,0.5014,0.1,100,8
33,0.5021191919191919,0.2,100,8
33,0.5173212121212122,0.3,100,8
33,0.5509806060606061,0.4,100,8
33,0.5843919191919191,0.5,100,8
34,0.5002941176470588,0.0,100,8
34,0.5006294117647059,0.1,100,8
34,0.5025372549019608,0.2,100,8
34,0.5179029411764706,0.3,100,8
34,0.5510752941176471,0.4,100,8
34,0.5847107843137255,0.5,100,8
35,0.5012971428571429,0.0,100,8
35,0.5010571428571428,0.1,100,8
35,0.502377142857143,0.2,100,8
35,0.5195742857142858,0.3,100,8
35,0.5527702857142857,0.4,100,8
35,0.5857266666666667,0.5,100,8
36,0.5007666666666666,0.0,100,8
36,0.5008194444444445,0.1,100,8
36,0.5017499999999999,0.2,100,8
36,0.5184847222222222,0.3,100,8
36,0.5526566666666668,0.4,100,8
36,0.5859287037037036,0.5,100,8
37,0.501518918918919,0.0,100,8
37,0.5002756756756757,0.1,100,8
37,0.5017009009009009,0.2,100,8
37,0.5180013513513514,0.3,100,8
37,0.552158918918919,0.4,100,8
37,0.5856954954954955,0.5,100,8
38,0.5001526315789474,0.0,100,8
38,0.50015,0.1,100,8
38,0.501461403508772,0.2,100,8
38,0.5188065789473684,0.3,100,8
38,0.5531526315789475,0.4,100,8
38,0.5858342105263158,0.5,100,8
39,0.4995589743589744,0.0,100,8
39,0.5001794871794872,0.1,100,8
39,0.5013282051282051,0.2,100,8
39,0.5176166666666667,0.3,100,8
39,0.5520164102564102,0.4,100,8
39,0.5853034188034189,0.5,100,8
40,0.5007849999999999,0.0,100,8
40,0.5007649999999999,0.1,100,8
40,0.5031683333333332,0.2,100,8
40,0.52027125,0.3,100,8
40,0.553403,0.4,100,8
40,0.5866975,0.5,100,8
41,0.49907317073170726,0.0,100,8
41,0.49937560975609757,0.1,100,8
41,0.5016471544715447,0.2,100,8
41,0.5189865853658536,0.3,100,8
41,0.5533531707317072,0.4,100,8
41,0.5863731707317074,0.5,100,8
42,0.5010952380952381,0.0,100,8
42,0.5001904761904762,0.1,100,8
42,0.5023634920634921,0.2,100,8
42,0.517852380952381,0.3,100,8
42,0.5529638095238094,0.4,100,8
42,0.5860238095238095,0.5,100,8
43,0.49983720930232556,0.0,100,8
43,0.5004488372093022,0.1,100,8
43,0.5021255813953489,0.2,100,8
43,0.5186313953488372,0.3,100,8
43,0.5535190697674418,0.4,100,8
43,0.5866426356589147,0.5,100,8
44,0.49975909090909093,0.0,100,8
44,0.49982499999999996,0.1,100,8
44,0.5025651515151515,0.2,100,8
44,0.5210818181818182,0.3,100,8
44,0.5553263636363636,0.4,100,8
44,0.5889537878787879,0.5,100,8
45,0.501128888888889,0.0,100,8
45,0.5000800000000001,0.1,100,8
45,0.5012844444444444,0.2,100,8
45,0.518921111111111,0.3,100,8
45,0.5541377777777777,0.4,100,8
45,0.5875918518518518,0.5,100,8
46,0.501208695652174,0.0,100,8
46,0.5009521739130435,0.1,100,8
46,0.5023695652173913,0.2,100,8
46,0.5196880434782609,0.3,100,8
46,0.5550791304347825,0.4,100,8
46,0.5883072463768115,0.5,100,8
47,0.500868085106383,0.0,100,8
47,0.5006021276595745,0.1,100,8
47,0.5028099290780141,0.2,100,8
47,0.5213170212765956,0.3,100,8
47,0.5573072340425531,0.4,100,8
47,0.5901127659574468,0.5,100,8
48,0.5007666666666668,0.0,100,8
48,0.5008625,0.1,100,8
48,0.5036777777777777,0.2,100,8
48,0.5216229166666666,0.3,100,8
48,0.5564508333333333,0.4,100,8
48,0.5894777777777778,0.5,100,8
49,0.5012938775510204,0.0,100,8
49,0.5009816326530613,0.1,100,8
49,0.5028108843537414,0.2,100,8
49,0.5207387755102041,0.3,100,8
49,0.5562546938775511,0.4,100,8
49,0.5893836734693878,0.5,100,8
50,0.498796,0.0,100,8
50,0.49912400000000007,0.1,100,8
50,0.5020506666666668,0.2,100,8
50,0.5200910000000001,0.3,100,8
50,0.5554856,0.4,100,8
50,0.5884973333333333,0.5,100,8
51,0.5000941176470587,0.0,100,8
51,0.49996274509803923,0.1,100,8
51,0.5022,0.2,100,8
51,0.5207999999999999,0.3,100,8
51,0.5564086274509804,0.4,100,8
51,0.5892045751633986,0.5,100,8
52,0.5009923076923076,0.0,100,8
52,0.500775,0.1,100,8
52,0.5031076923076923,0.2,100,8
52,0.521551923076923,0.3,100,8
52,0.5571815384615385,0.4,100,8
52,0.5901275641025641,0.5,100,8
53,0.49985283018867926,0.0,100,8
53,0.5007037735849057,0.1,100,8
53,0.5020654088050314,0.2,100,8
53,0.5208905660377359,0.3,100,8
53,0.5565177358490566,0.4,100,8
53,0.5894018867924528,0.5,100,8
54,0.4996925925925926,0.0,100,8
54,0.4998148148148148,0.1,100,8
54,0.5021728395061729,0.2,100,8
54,0.5205685185185186,0.3,100,8
54,0.5566051851851852,0.4,100,8
54,0.5897166666666668,0.5,100,8
55,0.49992,0.0,100,8
55,0.4996654545454545,0.1,100,8
55,0.5026630303030303,0.2,100,8
55,0.5211545454545454,0.3,100,8
55,0.5578370909090908,0.4,100,8
55,0.5909866666666667,0.5,100,8
56,0.49953928571428563,0.0,100,8
56,0.4997803571428571,0.1,100,8
56,0.5019297619047619,0.2,100,8
56,0.5208044642857144,0.3,100,8
56,0.5568992857142857,0.4,100,8
56,0.5903678571428571,0.5,100,8
57,0.5008070175438596,0.0,100,8
57,0.500638596491228,0.1,100,8
57,0.5030666666666668,0.2,100,8
57,0.5223982456140351,0.3,100,8
57,0.5582063157894737,0.4,100,8
57,0.5909368421052631,0.5,100,8
58,0.5001517241379311,0.0,100,8
58,0.5001810344827586,0.1,100,8
58,0.501851724137931,0.2,100,8
58,0.5219129310344828,0.3,100,8
58,0.5577606896551724,0.4,100,8
58,0.5912764367816091,0.5,100,8
59,0.49888813559322037,0.0,100,8
59,0.498893220338983,0.1,100,8
59,0.5014022598870056,0.2,100,8
59,0.5217237288135592,0.3,100,8
59,0.5583769491525423,0.4,100,8
59,0.59119604519774,0.5,100,8
60,0.5007833333333334,0.0,100,8
60,0.4999099999999999,0.1,100,8
60,0.5022444444444445,0.2,100,8
60,0.5225908333333333,0.3,100,8
60,0.5585,0.4,100,8
60,0.5914566666666667,0.5,100,8
61,0.5018524590163935,0.0,100,8
61,0.5014360655737705,0.1,100,8
61,0.5037726775956284,0.2,100,8
61,0.5230696721311475,0.3,100,8
61,0.5594295081967213,0.4,100,8
61,0.5925163934426229,0.5,100,8
62,0.4991612903225807,0.0,100,8
62,0.4997806451612904,0.1,100,8
62,0.5024516129032258,0.2,100,8
62,0.5234701612903225,0.3,100,8
62,0.5597709677419355,0.4,100,8
62,0.5927967741935484,0.5,100,8
63,0.4991428571428571,0.0,100,8
63,0.500247619047619,0.1,100,8
63,0.502720634920635,0.2,100,8
63,0.5222579365079365,0.3,100,8
63,0.5590184126984127,0.4,100,8
63,0.591942328042328,0.5,100,8
64,0.49987499999999996,0.0,100,8
64,0.4996515625,0.1,100,8
64,0.5024145833333333,0.2,100,8
64,0.5224890624999999,0.3,100,8
64,0.559421875,0.4,100,8
64,0.5923010416666666,0.5,100,8
65,0.4990276923076923,0.0,100,8
65,0.5000630769230768,0.1,100,8
65,0.5029466666666668,0.2,100,8
65,0.5237638461538461,0.3,100,8
65,0.5597107692307692,0.4,100,8
65,0.5925194871794872,0.5,100,8
66,0.49989090909090905,0.0,100,8
66,0.4999484848484849,0.1,100,8
66,0.5024888888888889,0.2,100,8
66,0.522539393939394,0.3,100,8
66,0.5592054545454546,0.4,100,8
66,0.5922424242424242,0.5,100,8
67,0.4996119402985075,0.0,100,8
67,0.4999238805970149,0.1,100,8
67,0.5034278606965175,0.2,100,8
67,0.5236902985074626,0.3,100,8
67,0.5596388059701493,0.4,100,8
67,0.5923587064676616,0.5,100,8
68,0.4993794117647059,0.0,100,8
68,0.5002955882352942,0.1,100,8
68,0.5029166666666668,0.2,100,8
68,0.5237220588235294,0.3,100,8
68,0.56061,0.4,100,8
68,0.5934318627450982,0.5,100,8
69,0.5007246376811595,0.0,100,8
69,0.5005391304347826,0.1,100,8
69,0.503296618357488,0.2,100,8
69,0.5242405797101449,0.3,100,8
69,0.5603188405797102,0.4,100,8
69,0.5928874396135266,0.5,100,8
70,0.49998,0.0,100,8
70,0.49956999999999996,0.1,100,8
70,0.5024104761904763,0.2,100,8
70,0.52402,0.3,100,8
70,0.5611377142857144,0.4,100,8
70,0.5938061904761904,0.5,100,8
71,0.49940000000000007,0.0,100,8
71,0.500174647887324,0.1,100,8
71,0.5030441314553991,0.2,100,8
71,0.5233746478873239,0.3,100,8
71,0.5595154929577466,0.4,100,8
71,0.5924600938967136,0.5,100,8
72,0.5004666666666666,0.0,100,8
72,0.4996541666666667,0.1,100,8
72,0.5034231481481481,0.2,100,8
72,0.5242256944444444,0.3,100,8
72,0.5613955555555555,0.4,100,8
72,0.5942560185185185,0.5,100,8
73,0.49909863013698624,0.0,100,8
73,0.49930684931506847,0.1,100,8
73,0.5019744292237442,0.2,100,8
73,0.5238945205479452,0.3,100,8
73,0.5612213698630137,0.4,100,8
73,0.5942602739726028,0.5,100,8
74,0.5006675675675676,0.0,100,8
74,0.5014418918918919,0.1,100,8
74,0.5035315315315315,0.2,100,8
74,0.5244222972972973,0.3,100,8
74,0.5614156756756757,0.4,100,8
74,0.594304954954955,0.5,100,8
