Pattern,ErrorRate,CorruptionLevel,num_neurons,param
1,0.0,0.0,100,128
1,0.0,0.1,100,128
1,0.0,0.2,100,128
1,0.0,0.3,100,128
1,0.0,0.4,100,128
1,0.0,0.5,100,128
2,0.0,0.0,100,128
2,0.0,0.1,100,128
2,0.0024666666666666665,0.2,100,128
2,0.013800000000000002,0.3,100,128
2,0.0434,0.4,100,128
2,0.09743333333333334,0.5,100,128
3,0.0,0.0,100,128
3,0.0008666666666666665,0.1,100,128
3,0.005222222222222222,0.2,100,128
3,0.022866666666666667,0.3,100,128
3,0.0638,0.4,100,128
3,0.13245555555555555,0.5,100,128
4,0.0,0.0,100,128
4,0.0,0.1,100,128
4,0.007049999999999999,0.2,100,128
4,0.037512500000000004,0.3,100,128
4,0.10789999999999998,0.4,100,128
4,0.18555,0.5,100,128
5,0.0,0.0,100,128
5,0.0,0.1,100,128
5,0.0064933333333333345,0.2,100,128
5,0.04196,0.3,100,128
5,0.119072,0.4,100,128
5,0.2042066666666667,0.5,100,128
6,0.0,0.0,100,128
6,0.0,0.1,100,128
6,0.007444444444444446,0.2,100,128
6,0.05002500000000001,0.3,100,128
6,0.1340533333333333,0.4,100,128
6,0.2215111111111111,0.5,100,128
7,0.0,0.0,100,128
7,0.0003142857142857143,0.1,100,128
7,0.010390476190476188,0.2,100,128
7,0.060178571428571435,0.3,100,128
7,0.1446057142857143,0.4,100,128
7,0.2324095238095238,0.5,100,128
8,0.0,0.0,100,128
8,0.0012625,0.1,100,128
8,0.01575,0.2,100,128
8,0.06333125,0.3,100,128
8,0.15277000000000004,0.4,100,128
8,0.24063333333333337,0.5,100,128
9,0.0,0.0,100,128
9,0.0010777777777777778,0.1,100,128
9,0.013955555555555558,0.2,100,128
9,0.06666666666666667,0.3,100,128
9,0.15761777777777777,0.4,100,128
9,0.2478666666666667,0.5,100,128
10,0.0,0.0,100,128
10,0.0009,0.1,100,128
10,0.014046666666666666,0.2,100,128
10,0.06995000000000001,0.3,100,128
10,0.163412,0.4,100,128
10,0.25332333333333334,0.5,100,128
11,0.0,0.0,100,128
11,0.001090909090909091,0.1,100,128
11,0.013733333333333334,0.2,100,128
11,0.07390909090909091,0.3,100,128
11,0.1713381818181818,0.4,100,128
11,0.26227878787878783,0.5,100,128
12,0.0,0.0,100,128
12,0.0016749999999999998,0.1,100,128
12,0.015433333333333334,0.2,100,128
12,0.07682083333333334,0.3,100,128
12,0.17585,0.4,100,128
12,0.2675472222222222,0.5,100,128
13,0.0,0.0,100,128
13,0.001953846153846154,0.1,100,128
13,0.020502564102564104,0.2,100,128
13,0.08640384615384615,0.3,100,128
13,0.1842123076923077,0.4,100,128
13,0.27416666666666667,0.5,100,128
14,0.0,0.0,100,128
14,0.0012785714285714286,0.1,100,128
14,0.018885714285714283,0.2,100,128
14,0.08545,0.3,100,128
14,0.18809714285714285,0.4,100,128
14,0.2805738095238095,0.5,100,128
15,0.0,0.0,100,128
15,0.0020800000000000003,0.1,100,128
15,0.019640000000000005,0.2,100,128
15,0.0886,0.3,100,128
15,0.18883466666666662,0.4,100,128
15,0.28059999999999996,0.5,100,128
16,0.0,0.0,100,128
16,0.0009750000000000001,0.1,100,128
16,0.02154166666666667,0.2,100,128
16,0.091575,0.3,100,128
16,0.1934325,0.4,100,128
16,0.284425,0.5,100,128
17,0.0,0.0,100,128
17,0.0006647058823529412,0.1,100,128
17,0.02133725490196078,0.2,100,128
17,0.0962264705882353,0.3,100,128
17,0.19846117647058825,0.4,100,128
17,0.28874901960784316,0.5,100,128
18,0.0,0.0,100,128
18,0.0007166666666666666,0.1,100,128
18,0.021940740740740743,0.2,100,128
18,0.09606666666666666,0.3,100,128
18,0.19774444444444444,0.4,100,128
18,0.28960925925925923,0.5,100,128
19,0.0,0.0,100,128
19,0.0011578947368421052,0.1,100,128
19,0.025024561403508776,0.2,100,128
19,0.10097368421052633,0.3,100,128
19,0.20674526315789474,0.4,100,128
19,0.2967385964912281,0.5,100,128
20,0.0,0.0,100,128
20,0.001725,0.1,100,128
20,0.023056666666666666,0.2,100,128
20,0.09872000000000002,0.3,100,128
20,0.20586200000000002,0.4,100,128
20,0.29707999999999996,0.5,100,128
21,0.0,0.0,100,128
21,0.0016047619047619046,0.1,100,128
21,0.02207619047619048,0.2,100,128
21,0.10326428571428573,0.3,100,128
21,0.20947047619047623,0.4,100,128
21,0.2993047619047619,0.5,100,128
22,0.0,0.0,100,128
22,0.0012272727272727272,0.1,100,128
22,0.0251030303030303,0.2,100,128
22,0.10584318181818181,0.3,100,128
22,0.21174181818181823,0.4,100,128
22,0.3011787878787878,0.5,100,128
23,0.0,0.0,100,128
23,0.0011869565217391305,0.1,100,128
23,0.0282463768115942,0.2,100,128
23,0.11189565217391305,0.3,100,128
23,0.21903652173913046,0.4,100,128
23,0.3084550724637681,0.5,100,128
24,0.0,0.0,100,128
24,0.0012541666666666667,0.1,100,128
24,0.025794444444444443,0.2,100,128
24,0.10983333333333332,0.3,100,128
24,0.21738833333333335,0.4,100,128
24,0.3067472222222222,0.5,100,128
25,0.0,0.0,100,128
25,0.001224,0.1,100,128
25,0.029525333333333327,0.2,100,128
25,0.11267599999999998,0.3,100,128
25,0.22055200000000003,0.4,100,128
25,0.3104773333333333,0.5,100,128
26,0.0,0.0,100,128
26,0.001969230769230769,0.1,100,128
26,0.025451282051282054,0.2,100,128
26,0.10991923076923076,0.3,100,128
26,0.21751076923076923,0.4,100,128
26,0.3070076923076923,0.5,100,128
27,0.0,0.0,100,128
27,0.0019296296296296294,0.1,100,128
27,0.02972098765432099,0.2,100,128
27,0.11317037037037038,0.3,100,128
27,0.22270814814814816,0.4,100,128
27,0.3125024691358025,0.5,100,128
28,0.0,0.0,100,128
28,0.002042857142857143,0.1,100,128
28,0.03085714285714286,0.2,100,128
28,0.1192,0.3,100,128
28,0.22497428571428568,0.4,100,128
28,0.31504166666666666,0.5,100,128
29,0.0,0.0,100,128
29,0.0021206896551724135,0.1,100,128
29,0.030177011494252875,0.2,100,128
29,0.12084999999999999,0.3,100,128
29,0.22882344827586207,0.4,100,128
29,0.3170137931034483,0.5,100,128
30,0.0,0.0,100,128
30,0.00167,0.1,100,128
30,0.030677777777777773,0.2,100,128
30,0.12008333333333333,0.3,100,128
30,0.22943066666666667,0.4,100,128
30,0.3176666666666667,0.5,100,128
31,0.0,0.0,100,128
31,0.0014774193548387096,0.1,100,128
31,0.03299569892473117,0.2,100,128
31,0.12370967741935485,0.3,100,128
31,0.23270967741935483,0.4,100,128
31,0.32051935483870964,0.5,100,128
32,0.0,0.0,100,128
32,0.0012937500000000002,0.1,100,128
32,0.031489583333333335,0.2,100,128
32,0.12000781249999999,0.3,100,128
32,0.23012875000000005,0.4,100,128
32,0.31979270833333334,0.5,100,128
33,0.0,0.0,100,128
33,0.0018606060606060604,0.1,100,128
33,0.035589898989899,0.2,100,128
33,0.12702121212121212,0.3,100,128
33,0.23554666666666665,0.4,100,128
33,0.3244353535353535,0.5,100,128
34,0.0,0.0,100,128
34,0.001588235294117647,0.1,100,128
34,0.03537843137254902,0.2,100,128
34,0.12803382352941176,0.3,100,128
34,0.23645764705882355,0.4,100,128
34,0.32440098039215687,0.5,100,128
35,0.0,0.0,100,128
35,0.0022314285714285713,0.1,100,128
35,0.03184000000000001,0.2,100,128
35,0.12604428571428572,0.3,100,128
35,0.23646285714285714,0.4,100,128
35,0.3247733333333333,0.5,100,128
36,0.0,0.0,100,128
36,0.0023111111111111114,0.1,100,128
36,0.03662777777777778,0.2,100,128
36,0.12974305555555554,0.3,100,128
36,0.24002,0.4,100,128
