Pattern,ErrorRate,CorruptionLevel,num_neurons,param
1,0.0,0.0,100,64
1,0.0,0.2,100,64
2,0.0,0.0,100,64
2,0.034050000000000004,0.2,100,64
3,0.001733333333333333,0.0,100,64
3,0.06383333333333333,0.2,100,64
4,0.0,0.0,100,64
4,0.08049999999999999,0.2,100,64
5,0.0012,0.0,100,64
5,0.08222,0.2,100,64
6,0.0015,0.0,100,64
6,0.09884999999999998,0.2,100,64
7,0.0009142857142857143,0.0,100,64
7,0.12104285714285716,0.2,100,64
8,0.0,0.0,100,64
8,0.1256125,0.2,100,64
9,0.0,0.0,100,64
9,0.1293888888888889,0.2,100,64
10,0.00084,0.0,100,64
10,0.12308999999999999,0.2,100,64
11,0.002418181818181818,0.0,100,64
11,0.13801818181818185,0.2,100,64
12,0.0019499999999999997,0.0,100,64
12,0.14384166666666667,0.2,100,64
13,0.0021846153846153847,0.0,100,64
13,0.15263076923076924,0.2,100,64
14,0.0017000000000000001,0.0,100,64
14,0.15814285714285714,0.2,100,64
15,0.0018,0.0,100,64
15,0.16156000000000004,0.2,100,64
16,0.0026875,0.0,100,64
16,0.16484375,0.2,100,64
17,0.0016823529411764703,0.0,100,64
17,0.16801764705882355,0.2,100,64
18,0.003955555555555556,0.0,100,64
18,0.16663333333333333,0.2,100,64
19,0.0019473684210526314,0.0,100,64
19,0.17145263157894738,0.2,100,64
20,0.0023699999999999997,0.0,100,64
20,0.173035,0.2,100,64
21,0.004647619047619047,0.0,100,64
21,0.1799047619047619,0.2,100,64
22,0.0036272727272727272,0.0,100,64
22,0.18330909090909092,0.2,100,64
23,0.0022869565217391303,0.0,100,64
23,0.1843521739130435,0.2,100,64
24,0.0037,0.0,100,64
24,0.1874166666666667,0.2,100,64
