Pattern,ErrorRate,CorruptionLevel,num_neurons,theta
1,0.0,0.0,100,0.1
1,0.0,0.1,100,0.1
2,0.0,0.0,100,0.1
2,0.0,0.1,100,0.1
3,0.0,0.0,100,0.1
3,0.0,0.1,100,0.1
4,0.0,0.0,100,0.1
4,0.0,0.1,100,0.1
5,0.0,0.0,100,0.1
5,0.0,0.1,100,0.1
6,0.0002666666666666666,0.0,100,0.1
6,0.0004166666666666667,0.1,100,0.1
7,2.857142857142857e-05,0.0,100,0.1
7,0.00038571428571428567,0.1,100,0.1
8,7.5e-05,0.0,100,0.1
8,0.0005124999999999999,0.1,100,0.1
9,0.000488888888888889,0.0,100,0.1
9,0.0022333333333333333,0.1,100,0.1
10,0.0024400000000000003,0.0,100,0.1
10,0.0029800000000000004,0.1,100,0.1
11,0.003818181818181818,0.0,100,0.1
11,0.004145454545454546,0.1,100,0.1
12,0.0025666666666666667,0.0,100,0.1
12,0.0065249999999999996,0.1,100,0.1
13,0.009984615384615385,0.0,100,0.1
13,0.015092307692307691,0.1,100,0.1
14,0.013757142857142858,0.0,100,0.1
14,0.017578571428571433,0.1,100,0.1
15,0.02090666666666667,0.0,100,0.1
15,0.027486666666666663,0.1,100,0.1
16,0.023237500000000005,0.0,100,0.1
16,0.03446875,0.1,100,0.1
17,0.03318823529411765,0.0,100,0.1
17,0.04537058823529412,0.1,100,0.1
18,0.04525555555555556,0.0,100,0.1
18,0.06013333333333333,0.1,100,0.1
19,0.05608421052631578,0.0,100,0.1
19,0.06928947368421053,0.1,100,0.1
20,0.07200999999999999,0.0,100,0.1
20,0.09213999999999999,0.1,100,0.1
21,0.07176190476190476,0.0,100,0.1
21,0.0998095238095238,0.1,100,0.1
22,0.09317272727272728,0.0,100,0.1
22,0.12144545454545456,0.1,100,0.1
23,0.11584347826086956,0.0,100,0.1
23,0.1398478260869565,0.1,100,0.1
24,0.142625,0.0,100,0.1
24,0.15899166666666667,0.1,100,0.1
25,0.138832,0.0,100,0.1
25,0.16142800000000002,0.1,100,0.1
26,0.15953076923076925,0.0,100,0.1
26,0.18553461538461538,0.1,100,0.1
27,0.18202222222222222,0.0,100,0.1
27,0.19682592592592588,0.1,100,0.1
28,0.1911642857142857,0.0,100,0.1
28,0.21377857142857146,0.1,100,0.1
29,0.2057793103448276,0.0,100,0.1
29,0.21940689655172416,0.1,100,0.1
30,0.20645333333333338,0.0,100,0.1
30,0.22941666666666666,0.1,100,0.1
31,0.2240193548387097,0.0,100,0.1
31,0.23770967741935484,0.1,100,0.1
32,0.2288625,0.0,100,0.1
32,0.246175,0.1,100,0.1
33,0.2434242424242424,0.0,100,0.1
33,0.2534909090909091,0.1,100,0.1
34,0.24432941176470588,0.0,100,0.1
34,0.25867941176470594,0.1,100,0.1
35,0.2503142857142857,0.0,100,0.1
35,0.26022,0.1,100,0.1
36,0.2608611111111111,0.0,100,0.1
36,0.2654194444444445,0.1,100,0.1
37,0.2646,0.0,100,0.1
37,0.27033243243243243,0.1,100,0.1
38,0.26208947368421054,0.0,100,0.1
38,0.26898157894736846,0.1,100,0.1
39,0.26803589743589745,0.0,100,0.1
39,0.2739179487179487,0.1,100,0.1
40,0.267335,0.0,100,0.1
40,0.27563250000000006,0.1,100,0.1
41,0.27525853658536586,0.0,100,0.1
41,0.2817731707317073,0.1,100,0.1
42,0.2791714285714286,0.0,100,0.1
42,0.2882904761904762,0.1,100,0.1
43,0.2772279069767442,0.0,100,0.1
43,0.28572325581395347,0.1,100,0.1
44,0.2859227272727273,0.0,100,0.1
44,0.2900477272727273,0.1,100,0.1
45,0.28643555555555555,0.0,100,0.1
45,0.28974000000000005,0.1,100,0.1
46,0.2871347826086956,0.0,100,0.1
46,0.29351304347826085,0.1,100,0.1
47,0.2860936170212766,0.0,100,0.1
47,0.29491702127659575,0.1,100,0.1
48,0.290975,0.0,100,0.1
48,0.29723541666666664,0.1,100,0.1
49,0.2916,0.0,100,0.1
49,0.29865714285714284,0.1,100,0.1
1,0.0,0.0,100,0.2
1,0.0,0.1,100,0.2
2,0.0,0.0,100,0.2
2,0.0,0.1,100,0.2
3,0.0,0.0,100,0.2
3,0.0,0.1,100,0.2
4,0.0,0.0,100,0.2
4,0.0,0.1,100,0.2
5,0.0,0.0,100,0.2
5,0.0,0.1,100,0.2
6,0.0,0.0,100,0.2
6,0.0,0.1,100,0.2
7,0.00014285714285714284,0.0,100,0.2
7,7.142857142857142e-05,0.1,100,0.2
8,5e-05,0.0,100,0.2
8,0.00045,0.1,100,0.2
9,0.0008444444444444444,0.0,100,0.2
